,date_crawled,car_name,price_EUR,ab_test,vehicle_type,registration_year,transmission,power_ps,model,odometer_km,registration_month,fuel_type,brand,unrepaired_damage,ad_created,postal_code,last_seen
699,3/9/2016 14:57,Renault_Kangoo_1_4_L_55_PS,1200,test,bus,2000,manuell,75,kangoo,150000,3,benzin,renault,nein,3/9/2016 0:00,47623,3/10/2016 11:17
700,3/23/2016 13:44,Volkswagen_Kaefer_1302_H_Kennzeichen,7500,test,limousine,1971,manuell,50,kaefer,150000,2,benzin,volkswagen,nein,3/23/2016 0:00,45894,4/1/2016 18:17
702,3/10/2016 23:57,BMW_316ICompakt_M_Paket_Hu/Au_Neu,1450,test,coupe,1998,manuell,102,3er,150000,8,benzin,bmw,nein,3/10/2016 0:00,41334,3/23/2016 21:47
704,4/2/2016 23:42,Renault_Megane_ENERGY_dCi_110_Start_&_Stop_Bose_Edition,4950,test,limousine,2012,automatik,110,megane,150000,3,diesel,renault,ja,4/2/2016 0:00,41462,4/7/2016 0:45
708,4/3/2016 13:49,Suzuki_Grand_Vitara_1.9_DDiS_Club_DPF,6750,control,suv,2009,manuell,129,grand,150000,2,diesel,suzuki,nein,4/3/2016 0:00,75179,4/3/2016 13:49
709,3/10/2016 19:54,Ford_Focus_1.6_Ti_VCT_Sport,7499,control,limousine,2009,manuell,116,focus,70000,1,benzin,ford,nein,3/10/2016 0:00,56729,3/31/2016 11:17
711,3/9/2016 3:36,Fiat_Marea_100_16V_Weekend_SX,999,control,kombi,2000,manuell,103,andere,125000,1,benzin,fiat,nein,3/9/2016 0:00,79780,4/7/2016 9:16
712,3/15/2016 12:48,Ford_Focus,500,control,limousine,1999,manuell,116,focus,150000,5,benzin,ford,ja,3/15/2016 0:00,42853,4/6/2016 1:16
713,3/7/2016 19:25,A_190_Avantgarde_Automatik_Schiebedach_34000_km_Original,4500,control,limousine,2004,automatik,125,a_klasse,40000,3,benzin,mercedes_benz,nein,3/7/2016 0:00,65193,3/10/2016 13:18
715,3/28/2016 14:55,Mazda_MX_5_Cabrio_Classic,3200,test,cabrio,1997,manuell,90,mx_reihe,150000,7,benzin,mazda,nein,3/28/2016 0:00,24395,4/6/2016 19:16
716,4/2/2016 20:52,Ford_Focus_C_Max_2.0_TDCi_Ahk._8fach_alu_uvm.,4200,test,bus,2004,manuell,136,c_max,150000,5,diesel,ford,nein,4/2/2016 0:00,45711,4/6/2016 21:44
717,4/4/2016 11:47,Audi_Q5_3.0_TDI_quattro_S_tronic,24499,control,suv,2009,automatik,239,q5,150000,9,diesel,audi,nein,4/4/2016 0:00,77855,4/6/2016 12:46
718,3/21/2016 14:38,Toyota_RAV_4_D_4D_4x4,3529,control,suv,2005,manuell,116,rav,150000,8,diesel,toyota,nein,3/21/2016 0:00,47226,3/21/2016 14:38
719,3/12/2016 23:48,Audi_a4__2_5_Tdi_kombi_s_line_Automatik,1390,control,kombi,2001,automatik,150,a4,150000,5,diesel,audi,nein,3/12/2016 0:00,27753,3/13/2016 0:44
720,3/30/2016 17:52,Mercedes_Benz_E_200_T_Kompressor_Automatik_Avantgarde,8500,control,kombi,2004,automatik,163,e_klasse,150000,8,benzin,mercedes_benz,nein,3/30/2016 0:00,22159,4/7/2016 8:45
722,3/28/2016 17:42,W_124_Coupe_ce_220,3500,test,Unknown,2016,automatik,150,e_klasse,150000,9,lpg,mercedes_benz,nein,3/28/2016 0:00,41366,4/6/2016 23:15
724,3/23/2016 14:53,Audi_A3_2.0_TDI_S_Line_Sportpaket_plus,5500,test,limousine,2004,manuell,140,a3,150000,11,diesel,audi,nein,3/23/2016 0:00,8223,4/5/2016 18:18
725,3/12/2016 9:57,"Ford_Focus_Turnier_Ghia_17""_Kombi_Klima",788,control,kombi,1999,manuell,131,focus,150000,6,benzin,ford,nein,3/12/2016 0:00,30989,3/12/2016 9:57
726,3/16/2016 16:25,BMW_330i__E90__TÜV_01/2018__evtl._auch_Tausch_gg._Diesel_Kombi,7999,control,limousine,2005,manuell,258,3er,150000,7,benzin,bmw,nein,3/16/2016 0:00,35686,3/25/2016 1:46
727,3/14/2016 22:52,Buick_Regal,2750,control,limousine,1995,automatik,173,Unknown,150000,3,benzin,sonstige_autos,nein,3/14/2016 0:00,44225,4/7/2016 0:16
728,3/17/2016 19:55,Opel_Agila_1.0_Edition_1.Hand__Klima,3990,control,kleinwagen,2008,manuell,65,agila,125000,7,benzin,opel,Unknown,3/17/2016 0:00,28779,4/7/2016 8:15
730,4/1/2016 17:53,Mondeo_2.2_TDCI,6999,test,Unknown,2005,manuell,155,mondeo,150000,12,Unknown,ford,nein,4/1/2016 0:00,72336,4/5/2016 13:18
732,3/10/2016 11:49,Skoda_1.9_Tdi,2350,test,kombi,2002,manuell,110,octavia,150000,5,diesel,skoda,Unknown,3/10/2016 0:00,66113,3/10/2016 11:49
733,3/19/2016 14:48,Opel_Corsa_1.2___AUX/MP3___Einparkhilfe___8xBereifung,4650,test,kleinwagen,2009,manuell,80,corsa,125000,3,benzin,opel,nein,3/19/2016 0:00,42651,3/23/2016 0:47
734,3/20/2016 19:49,BMW_320_Ci,6200,test,cabrio,2001,manuell,170,3er,150000,4,benzin,bmw,nein,3/20/2016 0:00,92729,4/7/2016 4:17
736,3/31/2016 20:57,BMW_X5_3.5_SD_M_Paket_Sportaustattung_Carbonschwarz,32900,test,limousine,2010,automatik,286,x_reihe,100000,3,diesel,bmw,nein,3/31/2016 0:00,51702,4/6/2016 15:47
737,3/31/2016 14:39,Familienkombi_mit_wenig_Kilometerleistung,1350,control,kombi,2002,manuell,143,6_reihe,150000,12,benzin,mazda,nein,3/31/2016 0:00,2727,3/31/2016 14:39
738,3/28/2016 14:57,Alfa_Romeo_147_jtdM_DPF,3450,test,limousine,2007,manuell,120,147,150000,4,diesel,alfa_romeo,nein,3/28/2016 0:00,86678,3/31/2016 23:17
739,3/9/2016 12:46,Opel_Astra_California,1200,control,limousine,1994,manuell,71,astra,125000,7,benzin,opel,nein,3/9/2016 0:00,4158,3/9/2016 12:46
740,3/17/2016 23:54,AUDI_A3_8L_Ambition__Tuev_neu__Alufelgen__8_fach__rostfrei,2800,control,limousine,2000,manuell,125,a3,150000,5,benzin,audi,nein,3/17/2016 0:00,95444,3/20/2016 4:19
741,4/1/2016 4:57,Audi_A6_Facelift,17600,control,kombi,2011,manuell,190,a6,150000,8,diesel,audi,nein,4/1/2016 0:00,56743,4/7/2016 6:15
742,3/6/2016 10:49,Suche_Fiesta_TDCI_oder_Grande_Punto_Diesel,6900,test,Unknown,2005,Unknown,90,fiesta,150000,1,diesel,ford,Unknown,3/6/2016 0:00,58644,3/9/2016 22:45
743,4/6/2016 16:36,Renault_Clio_1.2_16V_62500KM_Hagelschaden,2650,test,kleinwagen,2007,manuell,75,clio,70000,12,benzin,renault,ja,4/6/2016 0:00,58091,4/6/2016 16:36
744,3/6/2016 10:43,Bmw_320_d_Xdrive_Allrad,18200,test,limousine,2010,manuell,184,3er,80000,8,diesel,bmw,nein,3/6/2016 0:00,97705,4/6/2016 2:45
745,3/28/2016 13:45,Mercedes_Benz_E_320_T_CDI_Avantgarde,1490,test,kombi,1999,automatik,197,e_klasse,150000,10,diesel,mercedes_benz,nein,3/28/2016 0:00,25576,4/2/2016 17:46
746,4/4/2016 13:39,Volvo_960_3.0_24V_Automatik_Euro2__Schiebedach__2.Hand,1190,control,kombi,1995,automatik,204,andere,150000,3,benzin,volvo,ja,4/4/2016 0:00,23879,4/6/2016 14:45
747,3/7/2016 21:39,PT_Cruiser_2.0l_Classic_Edition_Patriot_blue_met.,1400,control,kombi,2001,automatik,141,ptcruiser,125000,1,benzin,chrysler,Unknown,3/7/2016 0:00,46397,3/8/2016 14:20
748,3/31/2016 23:40,Mitsubishi_Outlander_2.4_4WD_CVT_Instyle,10500,control,limousine,2008,automatik,170,outlander,100000,8,benzin,mitsubishi,nein,3/31/2016 0:00,1731,4/4/2016 17:46
750,3/29/2016 21:55,Volkswagen_Passat_Variant_2.0_TDI_DPF,3300,test,kombi,2005,manuell,136,passat,150000,1,diesel,volkswagen,nein,3/29/2016 0:00,71522,4/2/2016 11:15
751,3/7/2016 14:50,Mazda_6_Sport_Kombi_2.0_CD_Euro4_Klima,1750,control,kombi,2005,manuell,121,6_reihe,150000,6,diesel,mazda,nein,3/7/2016 0:00,38723,3/10/2016 13:15
753,3/19/2016 17:49,Sparsamer_Fiat_Grande_Punto_TÜV_NEU,3750,control,kleinwagen,2009,manuell,65,punto,80000,5,benzin,fiat,nein,3/19/2016 0:00,27612,3/19/2016 17:49
754,3/22/2016 19:06,Opel_Tigra_Twin_Top_1.4,3500,test,cabrio,2004,manuell,90,tigra,80000,8,benzin,opel,nein,3/22/2016 0:00,65203,3/23/2016 9:49
755,3/12/2016 14:41,Volkswagen_Touran_2.0_TDI,4990,test,bus,2005,manuell,140,touran,150000,6,diesel,volkswagen,nein,3/12/2016 0:00,87437,3/16/2016 17:44
756,3/23/2016 18:57,Renault_Megane_1.6_Grandtour__Benzin_/_Gasanlage,1995,test,kombi,2004,manuell,113,megane,150000,4,lpg,renault,nein,3/23/2016 0:00,41748,4/5/2016 23:45
757,4/4/2016 0:56,Toyota_Land_Cruiser_D_4D_Automatik_Sol,15800,test,suv,2009,automatik,173,andere,150000,5,diesel,toyota,nein,4/4/2016 0:00,40764,4/6/2016 9:16
759,3/11/2016 18:48,A4_Avant_1.9_TDI_KOMBI,2400,test,kombi,2004,manuell,131,a4,150000,5,diesel,audi,nein,3/11/2016 0:00,12053,3/11/2016 18:48
763,4/3/2016 13:39,Ford_Sportka,1950,control,limousine,2005,manuell,95,ka,125000,2,benzin,ford,nein,4/3/2016 0:00,58332,4/5/2016 12:18
764,3/6/2016 16:06,VW_T5_MULTIVAN,15300,control,bus,2006,manuell,174,transporter,150000,5,diesel,volkswagen,nein,3/6/2016 0:00,61276,3/14/2016 11:46
765,3/19/2016 12:53,Nissan_Pathfinder_2.5_dCi,13500,test,suv,2007,automatik,174,andere,150000,6,diesel,nissan,nein,3/19/2016 0:00,15834,4/6/2016 17:46
766,3/31/2016 13:38,Skoda_Octavia_Combi_1.6_TDI__Xenon_Navi_Gross,7000,control,kombi,2011,manuell,105,octavia,150000,5,diesel,skoda,nein,3/31/2016 0:00,12051,4/6/2016 5:46
767,3/27/2016 16:25,Mercedes_Benz_C_220_CDI_Elegance,4490,test,limousine,2000,automatik,143,c_klasse,150000,10,diesel,mercedes_benz,nein,3/27/2016 0:00,60529,4/5/2016 22:17
768,3/30/2016 18:45,Peugeot_307sw,1500,test,limousine,2002,manuell,137,3_reihe,150000,3,benzin,peugeot,nein,3/30/2016 0:00,52249,4/7/2016 9:45
769,3/26/2016 13:38,SKODA_FELICIA__Tuev_:09_/_2016_,790,control,kombi,1999,manuell,50,andere,150000,8,benzin,skoda,nein,3/26/2016 0:00,12049,4/6/2016 1:16
770,3/25/2016 19:56,Renault_Twingo_C06_1.2l_16V_1_1/2_Jahre_TÜV__Tolle_Ausstattung!!!,1450,test,kleinwagen,2001,manuell,75,twingo,150000,5,benzin,renault,nein,3/25/2016 0:00,80809,4/5/2016 0:15
771,3/20/2016 17:48,Opel_Corsa__5_Tuerer,650,test,kleinwagen,2000,manuell,54,corsa,150000,11,benzin,opel,Unknown,3/20/2016 0:00,48301,3/20/2016 17:48
772,3/5/2016 14:56,Opel_Zafira_2.2_DTI_Elegance,1500,control,bus,2002,manuell,125,zafira,150000,3,diesel,opel,ja,3/5/2016 0:00,85077,3/14/2016 12:16
773,3/20/2016 12:43,Passat_Variant_1.8_5V_Turbo_mit_Frontscheibenheizung_sehr_selten,1499,test,kombi,1997,manuell,150,passat,150000,10,benzin,volkswagen,nein,3/20/2016 0:00,15517,3/21/2016 14:46
775,3/22/2016 11:58,MINI_Mini_Cooper,3600,control,kleinwagen,2003,manuell,116,cooper,150000,3,benzin,mini,ja,3/22/2016 0:00,74072,3/23/2016 19:46
776,3/5/2016 18:52,Hyundai_i30cw_1.6_CRDi_blue_Classic,7500,test,kombi,2010,manuell,90,i_reihe,70000,10,diesel,hyundai,nein,3/5/2016 0:00,16303,4/7/2016 4:15
777,3/5/2016 17:38,BMW_320d_DPF_Touring_Aut.__M_Paket_Komponenten_,9000,test,kombi,2006,automatik,163,3er,150000,7,diesel,bmw,nein,3/5/2016 0:00,91589,3/11/2016 11:46
779,3/28/2016 18:54,Bmw_touring_comfort_edition,850,control,kombi,1997,manuell,102,3er,150000,9,benzin,bmw,nein,3/28/2016 0:00,58762,4/2/2016 23:50
781,4/4/2016 15:39,Peugeot_206_HDi_eco_90,1900,test,kleinwagen,2003,manuell,90,2_reihe,125000,4,diesel,peugeot,nein,4/4/2016 0:00,78239,4/4/2016 15:39
782,3/17/2016 9:46,Peugeot_207_Bj.2006_87000km_2Hd_Klima_Serviceheft,3290,test,kleinwagen,2006,manuell,90,2_reihe,90000,4,benzin,peugeot,nein,3/17/2016 0:00,13591,4/6/2016 5:46
783,3/7/2016 21:51,Seat_Ibiza_1.6_TDI_CR,9800,control,kleinwagen,2013,manuell,90,ibiza,20000,5,diesel,seat,nein,3/7/2016 0:00,26349,3/10/2016 19:47
784,3/17/2016 19:41,Ford_Fiesta_1.3,2750,control,kleinwagen,2007,manuell,60,fiesta,125000,12,benzin,ford,nein,3/17/2016 0:00,33100,3/22/2016 1:45
785,3/31/2016 13:48,Audi_A4_2.4__AUSTAUSCH_MOTOR_90.000_km__,2100,control,limousine,2002,automatik,170,a4,150000,6,benzin,audi,nein,3/31/2016 0:00,45888,4/4/2016 5:51
786,3/12/2016 16:53,Mercedes_Benz_B_170,5900,control,bus,2006,manuell,116,b_klasse,150000,2,benzin,mercedes_benz,nein,3/12/2016 0:00,49565,4/1/2016 11:15
788,3/20/2016 21:56,Audi_A4_2.0_TDI_DPF,6800,test,limousine,2006,manuell,140,a4,150000,5,diesel,audi,nein,3/20/2016 0:00,30900,3/23/2016 8:45
789,3/19/2016 14:49,Hyundai_i10_1.1_Classic,4399,test,kleinwagen,2011,manuell,69,i_reihe,30000,8,benzin,hyundai,nein,3/19/2016 0:00,58091,3/19/2016 14:49
790,3/8/2016 10:58,DUCATO_2.3_MULTIJET_MIT_2287ccm_KLIMA_TOP_GEPFLEGT,6990,test,andere,2006,manuell,120,Unknown,150000,9,diesel,fiat,nein,3/8/2016 0:00,97532,4/7/2016 10:44
791,3/28/2016 12:53,Mazda_Rx8_4950_VB,4950,test,andere,2004,manuell,231,rx_reihe,150000,6,andere,mazda,nein,3/28/2016 0:00,32339,4/6/2016 16:15
792,3/8/2016 15:38,Renault_Megane_1.9_dCi,2400,test,limousine,2003,manuell,120,megane,150000,11,diesel,renault,nein,3/8/2016 0:00,10365,4/6/2016 6:46
794,3/30/2016 20:30,BMW_320d_Gruene_Plakette,2000,control,kombi,2001,manuell,136,3er,150000,2,diesel,bmw,nein,3/30/2016 0:00,63069,3/31/2016 17:27
795,3/22/2016 22:52,Mercedes_Benz_C_180_T_Elegance_TÜV+HU_3_2018,1750,control,kombi,1999,manuell,122,c_klasse,150000,4,benzin,mercedes_benz,nein,3/22/2016 0:00,41516,3/25/2016 20:44
796,3/12/2016 17:53,Kia_Rio_1.2,8800,test,kleinwagen,2012,manuell,86,rio,30000,3,benzin,kia,nein,3/12/2016 0:00,35435,4/7/2016 5:46
797,3/28/2016 22:37,Volkswagen_Polo_Joker,750,control,kleinwagen,1999,manuell,60,polo,150000,3,benzin,volkswagen,nein,3/28/2016 0:00,76661,4/5/2016 12:45
799,3/20/2016 11:37,Vw_Golf_IV_1.9tdi_90ps,1000,test,limousine,1999,manuell,90,golf,150000,11,diesel,volkswagen,nein,3/20/2016 0:00,94133,3/20/2016 11:37
801,3/27/2016 13:59,Skoda_Fabia_1.6_16V_Combi,5000,test,kombi,2009,manuell,105,fabia,60000,3,benzin,skoda,nein,3/27/2016 0:00,56073,4/3/2016 18:16
802,3/26/2016 22:57,BMW_123d_Facelift__sehr_gepflegt_,11499,test,limousine,2009,manuell,204,1er,125000,6,diesel,bmw,nein,3/26/2016 0:00,36272,4/2/2016 16:15
803,3/26/2016 14:55,VW_Golf_3_Variant,1100,control,kombi,1995,manuell,90,golf,125000,3,benzin,volkswagen,Unknown,3/26/2016 0:00,6406,4/6/2016 3:17
805,3/9/2016 10:49,Ford_Mondeo_1.8_Ghia_LPG/GAS_KLIMAAUTOMATIK,2450,control,limousine,2001,manuell,125,mondeo,150000,6,lpg,ford,nein,3/9/2016 0:00,45896,3/16/2016 2:44
808,3/15/2016 7:57,Audi_A6_2_4_Liter,1350,test,kombi,1998,automatik,169,a6,150000,11,benzin,audi,nein,3/15/2016 0:00,27321,3/17/2016 2:44
809,3/28/2016 23:45,BMW_320d,13999,test,limousine,2005,manuell,163,3er,125000,7,diesel,bmw,nein,3/28/2016 0:00,53840,4/7/2016 7:16
810,3/15/2016 21:51,Volkswagen_Caddy_1.9_TDI_Life,5700,control,kombi,2008,manuell,105,caddy,125000,8,diesel,volkswagen,nein,3/15/2016 0:00,30627,3/19/2016 19:47
811,3/11/2016 19:54,Ford_Focus_1.6_TDCi_DPF_Ambiente,3999,test,limousine,2005,manuell,109,focus,150000,5,diesel,ford,nein,3/11/2016 0:00,6774,4/6/2016 1:17
812,3/7/2016 16:51,Ford_Fiesta_1.6_TDCi_Ambiente,2200,control,kleinwagen,2009,manuell,75,fiesta,150000,5,diesel,ford,ja,3/7/2016 0:00,50829,3/11/2016 18:48
813,3/9/2016 12:59,Ford_Fiesta_1.4_Futura_Klimaanlage,1950,control,kleinwagen,2004,manuell,80,fiesta,100000,4,benzin,ford,nein,3/9/2016 0:00,58455,3/13/2016 1:46
814,3/11/2016 18:58,Beetle_Cabrio_1.9TDI_Zahnriemen_Inspektion_Neu_Tuev_11_17,7500,test,cabrio,2008,manuell,105,beetle,150000,5,diesel,volkswagen,nein,3/11/2016 0:00,54290,3/15/2016 11:46
816,3/6/2016 19:46,Mercedes_Benz_C_220__BlueTEC__d,25000,control,limousine,2014,manuell,170,c_klasse,40000,5,diesel,mercedes_benz,nein,3/6/2016 0:00,87724,3/15/2016 19:44
817,3/28/2016 15:49,R19_Cabrio,2700,control,cabrio,1991,manuell,88,r19,150000,7,benzin,renault,nein,3/28/2016 0:00,13435,4/6/2016 20:46
818,3/23/2016 11:48,Skoda_Octavia_1.9_TDi_Combi,2750,test,kombi,2000,manuell,90,octavia,150000,6,diesel,skoda,nein,3/23/2016 0:00,52385,4/7/2016 13:15
819,3/16/2016 19:56,Opel_Corsa.__****_1_HAND_******,4300,test,kleinwagen,2009,manuell,80,corsa,125000,4,benzin,opel,nein,3/16/2016 0:00,49084,3/20/2016 21:45
820,3/23/2016 12:49,Opel_Astra_1.7_CDTI_Caravan,3500,control,kombi,2006,manuell,101,astra,125000,8,diesel,opel,nein,3/23/2016 0:00,7549,3/24/2016 20:16
821,4/2/2016 14:57,Seat_Ibiza_1.2,2600,test,kleinwagen,2005,manuell,64,ibiza,150000,3,benzin,seat,nein,4/2/2016 0:00,46282,4/6/2016 13:44
822,3/10/2016 13:38,Ford_Focus_Turnier_DI,1450,test,kombi,2000,manuell,90,focus,150000,3,diesel,ford,nein,3/10/2016 0:00,19339,4/7/2016 8:15
823,3/14/2016 10:52,Verkaufe_Mitsubishi_Pajero_Pinin_Allrad,4900,control,suv,2001,manuell,120,pajero,50000,12,benzin,mitsubishi,nein,3/14/2016 0:00,89438,3/23/2016 11:46
824,3/7/2016 13:48,Golf_plus_1.6_Klima_Anhaengerkupplung,5300,control,limousine,2005,manuell,101,golf,100000,9,benzin,volkswagen,nein,3/7/2016 0:00,7407,3/8/2016 9:45
827,3/11/2016 18:40,Honda_Civic_1.4i,650,test,limousine,1995,manuell,75,civic,150000,10,benzin,honda,nein,3/11/2016 0:00,32105,4/5/2016 19:47
828,3/22/2016 23:59,Golf_6_Comfortline,9200,test,limousine,2009,manuell,110,golf,125000,6,diesel,volkswagen,ja,3/22/2016 0:00,30449,4/7/2016 10:17
829,3/7/2016 12:50,Mazda_6_Sport_Kombi_AHK_abn._StHz._Motor_ma._Geraeusche,1500,test,kombi,2004,manuell,121,6_reihe,150000,11,diesel,mazda,nein,3/7/2016 0:00,4603,4/5/2016 20:16
830,3/30/2016 19:56,Audi_Q7_3.0_TDI_DPF_quattro_tiptronic,19500,test,limousine,2007,automatik,232,q7,150000,1,diesel,audi,nein,3/30/2016 0:00,59558,4/7/2016 11:45
832,3/12/2016 12:44,Volkswagen_Touran_1.6_Conceptline,6990,test,bus,2007,manuell,102,touran,125000,4,benzin,volkswagen,nein,3/12/2016 0:00,72116,3/16/2016 13:15
833,3/26/2016 20:50,VW_Polo_9N,4450,control,kleinwagen,2004,manuell,100,polo,125000,6,diesel,volkswagen,nein,3/26/2016 0:00,65614,3/26/2016 20:53
835,3/24/2016 17:50,Fiat_500,9200,control,kleinwagen,2014,manuell,69,500,30000,7,benzin,fiat,nein,3/24/2016 0:00,85221,4/7/2016 11:16
838,3/5/2016 15:53,Smart_Fortwo_two_Cabrio,1399,control,cabrio,2001,automatik,54,fortwo,150000,5,benzin,smart,nein,3/5/2016 0:00,30419,3/6/2016 4:45
839,3/12/2016 17:40,Opel_Corsa_1.0_12V_Eco,1650,test,kleinwagen,2002,manuell,58,corsa,125000,4,benzin,opel,nein,3/12/2016 0:00,91356,3/14/2016 9:46
840,4/1/2016 14:07,Honda_Civic_1.4i,1450,test,limousine,1997,manuell,75,civic,150000,3,benzin,honda,nein,4/1/2016 0:00,56589,4/7/2016 3:45
841,3/8/2016 15:42,BMW_320d,18250,test,limousine,2013,manuell,184,3er,60000,4,diesel,bmw,nein,3/8/2016 0:00,86169,3/11/2016 9:15
842,3/21/2016 13:39,Opel_Vectra_1_8_Comfort,4850,test,limousine,2002,manuell,122,vectra,50000,6,benzin,opel,nein,3/21/2016 0:00,44267,4/6/2016 8:45
843,3/27/2016 23:46,BMW_850_E_31,17550,test,coupe,1991,automatik,299,andere,150000,7,benzin,bmw,nein,3/27/2016 0:00,16341,4/6/2016 1:15
845,3/9/2016 16:29,BMW_525d_touring___Turbolader_defekt___Festpreis,3000,control,kombi,2003,manuell,163,5er,150000,12,diesel,bmw,nein,3/9/2016 0:00,65462,3/16/2016 16:18
846,3/27/2016 17:36,BMW_320i_Sport_Edition,1399,test,cabrio,1998,manuell,150,3er,150000,5,benzin,bmw,nein,3/27/2016 0:00,83301,3/29/2016 8:15
849,3/27/2016 17:44,Cadillac_Deville_V8_H__Zulassung,19999,test,limousine,1969,automatik,300,Unknown,100000,3,benzin,sonstige_autos,nein,3/27/2016 0:00,96515,4/5/2016 13:44
852,3/12/2016 10:06,SEAT_IBIZA,4300,test,limousine,2006,manuell,75,ibiza,125000,1,benzin,seat,nein,3/12/2016 0:00,35586,3/22/2016 22:15
853,4/3/2016 22:49,Mercedes_Benz_E_280_CDI_4Matic_Automatik_Avantgarde_DPF_Bu...,11200,control,limousine,2007,automatik,190,e_klasse,150000,6,diesel,mercedes_benz,nein,4/3/2016 0:00,70184,4/6/2016 0:45
854,3/20/2016 8:53,Smart_Fortwo_smart_&_Passion___#_WENIG_KM_#._Klima_und_Glasdach,2650,test,kleinwagen,2002,automatik,54,fortwo,80000,10,benzin,smart,Unknown,3/20/2016 0:00,48432,3/23/2016 23:17
855,3/19/2016 8:55,VW_Passat_3B_Kombi_Tdi_115_Ps_tuev_2017_Familienauto,2100,test,kombi,1999,manuell,115,passat,150000,11,diesel,volkswagen,nein,3/19/2016 0:00,15848,4/6/2016 8:44
857,3/16/2016 19:44,Volkswagen_Eos_2.0_Turbo_FSI_Individual_Chrom,10500,test,cabrio,2009,manuell,200,eos,70000,2,benzin,volkswagen,nein,3/16/2016 0:00,66894,3/17/2016 18:16
858,3/11/2016 16:45,Opel_Vectra_1.8,700,test,limousine,1996,manuell,116,vectra,150000,4,benzin,opel,nein,3/11/2016 0:00,76530,4/5/2016 14:46
860,3/25/2016 15:50,Neuwertiger_VW_TOURAN,5800,test,bus,2005,manuell,105,touran,125000,11,benzin,volkswagen,nein,3/25/2016 0:00,74172,4/6/2016 20:16
861,4/2/2016 13:39,BMW_335d_DPF,15600,test,limousine,2006,automatik,286,3er,125000,12,diesel,bmw,nein,4/2/2016 0:00,68219,4/2/2016 13:39
863,3/31/2016 18:27,MINI_Cooper_SD_Clubman_Navi_Xenon,15800,test,kombi,2011,manuell,143,clubman,100000,8,diesel,mini,nein,3/30/2016 0:00,56179,4/5/2016 13:45
864,3/10/2016 17:56,Kia_pro_Ceed_1.6_GDI,16900,control,limousine,2013,manuell,135,ceed,50000,3,benzin,kia,nein,3/10/2016 0:00,26655,4/5/2016 19:46
865,3/11/2016 12:52,Wolkswagen_Golf_1.6_MOTOR_UND_GETRIEBE_TOP!!,1490,test,kombi,1999,manuell,105,golf,150000,11,benzin,volkswagen,nein,3/11/2016 0:00,12051,3/20/2016 22:46
866,3/23/2016 16:57,zu_verkaufen_Golf_V;Erste_Besitzer!,3850,test,limousine,2006,manuell,105,golf,150000,1,diesel,volkswagen,nein,3/23/2016 0:00,25704,3/26/2016 10:16
867,3/8/2016 3:55,Opel_Astra_H_Twin_Top_1_9_CDTI_Endless_Summer,5900,control,cabrio,2009,manuell,150,astra,150000,1,diesel,opel,nein,3/8/2016 0:00,71364,3/9/2016 5:45
868,3/12/2016 23:36,Citroën_Xsara_Picasso_1.8i_Exclusive,1700,control,bus,2002,manuell,116,andere,150000,4,benzin,citroen,nein,3/12/2016 0:00,83352,3/14/2016 21:46
869,3/24/2016 14:48,Verkaufe_unseren_Daihatsu_Coure_1.0_Benziner_5_Tuerer_wegen_Neuans,555,test,kleinwagen,2003,manuell,60,cuore,150000,10,benzin,daihatsu,nein,3/24/2016 0:00,42107,3/24/2016 14:48
870,4/1/2016 13:48,Audi_A2_1.6_FSI,900,test,kleinwagen,2002,manuell,110,a2,150000,11,benzin,audi,ja,4/1/2016 0:00,13187,4/7/2016 10:45
871,3/16/2016 11:47,BMW_320d_Limousine_blau_metallic_mit_Comfort_Paket,2799,test,limousine,2002,manuell,150,3er,150000,4,diesel,bmw,nein,3/16/2016 0:00,54310,4/6/2016 5:16
872,3/10/2016 17:50,Renault_Trafic_1.9dci_100.Sehr_gepflegtes_Auto_aus_2.Hand_8_sitze,5900,control,bus,2003,manuell,101,andere,150000,12,diesel,renault,nein,3/10/2016 0:00,90443,4/5/2016 19:45
874,3/25/2016 0:39,Opel_Corsa_1.2_16V_KLIMAAUTOMATIK_+_SERVO,2399,control,kleinwagen,2004,manuell,75,corsa,125000,3,benzin,opel,nein,3/24/2016 0:00,40667,3/31/2016 6:16
875,3/29/2016 16:51,Peugeot_206_60_Pop_Art,1750,control,kleinwagen,2004,manuell,60,2_reihe,150000,2,benzin,peugeot,nein,3/29/2016 0:00,79108,4/6/2016 2:44
876,3/9/2016 17:57,Volkswagen_Lupo_1.0,1300,test,kleinwagen,1998,manuell,50,lupo,150000,10,benzin,volkswagen,nein,3/9/2016 0:00,35096,4/7/2016 13:15
877,3/18/2016 10:37,Volvo_xc70_D5_Vollauslastung,7350,control,suv,2005,automatik,163,xc_reihe,150000,3,diesel,volvo,nein,3/18/2016 0:00,24536,4/1/2016 23:47
879,3/29/2016 10:54,BMW_130_Vollausstattung,8600,control,limousine,2008,automatik,265,1er,150000,5,benzin,bmw,ja,3/29/2016 0:00,56727,3/29/2016 11:44
881,3/20/2016 18:52,BMW_120d_Sport_Line,17300,test,limousine,2012,manuell,184,1er,80000,3,diesel,bmw,nein,3/20/2016 0:00,74635,4/7/2016 2:45
882,3/24/2016 16:45,Volkswagen_Multivan_T4_70B_MD2,850,control,bus,1994,manuell,110,transporter,150000,10,lpg,volkswagen,ja,3/24/2016 0:00,13597,3/29/2016 1:47
